,id,review,label
2243,2244, inhe aik mauqa milna chahiye ke wo khud is baat ka faisla kar saken ke kya behtar hai aur kya nahi.,positive
4150,4151,it was normal..koi itny ziada achy nhi thy..,negative
2625,2626, simi final mein jahangir ne hadayat jahan ko shikst di thi jabke hint ne doosre simi final mein faqmer zaman ko haraya tha 34 sala hint world open mein naqabil taskher chale arahe they aur 1975 sey hone wale iss tournament mein har bar fateh lout rahe they,positive
5531,5532,agr hm awaam he inlog ko ehmiyat dena or dekhna or feed back dena chordenge to ink shows ki koi value nahi rehegi,positive
583,584,is saal eid ul fitar ki 70 arab rupe ki kharidari ki gai atiq mir ,positive
4056,4057,ya allah hum sub ka khatma bil khair frmana,positive
3008,3009,anmol khazana bta dain please,positive
3132,3133,papa chachu k achy halal karobar k lie dua frma dyn,positive
3384,3385,market se yehi pack 50 to 60 r.s main mill jata hai.,negative
5315,5316,yah phasti nahi phansa leti hai,negative
4974,4975, umeed ka deya abhi tak jal raha hai,positive
5928,5929,ap bht piyaire ho,positive
1650,1651,ye din aa gaye hain ab tu,negative
4592,4593,bil aakhir allah pak se lau lagai aur is tarah totey hue dil ko qarar aaya,negative
4908,4909,ky howa in ko ya to sat yab he hn mashallah,positive
4054,4055,neend aati nahi mujhko saari raat koi us se kahe mere dil ki baat,positive
5564,5565,masha allah allah pak hamisha kush rakhn ameen,positive
705,706,bibi apki kio jal rh hy?? pani pee lo thora,negative
265,266,baari ap to famous ho gai hain â¥,positive
5722,5723,mje lag raha aurat ne marna shuru kr daina he end par,negative
2353,2354,is banda k right wala angootha per day an sa dakha sub pata chal jaya ga,negative
3926,3927,hath me daikhny me itna acha nahi lagta jitna pic me he,negative
4898,4899,ketry jo aa,positive
4771,4772,tmhari ami ko b ð,positive
1512,1513,bajaye ke apni caste walay areas mei kaam karei.,negative
5492,5493,kinza hanste huwe tu bht buri lagti ha or bolta huwa tu us sa bhi zada zehar i hate u kinza and masooma,negative
3162,3163,lo puchlo kisi se b cs easy he it softwr isse zda mushkl phr electronics inse zda krna b sikho bnana b sth m khd he bnjaty he isme sary cs easy uska lya ko jnta pc ko electronics waly ko ni pta kia phar rhy he,negative
4811,4812,beta me apke liye stock exchange k papers bhejta hun kyunke apka interest lg rha hai issme,positive
891,892,ansar burney wazir 2007 mein banney wali nigran hukumet mein ansar burney wazir bhi rah chukey hain apni wizaret key dauran unhon ney kae aisey faisley aur iqdemat kea jinhain baz halqon ki taref sey saraha gea aur baz halqon ki taref dey tanqeed ka nishana banaya gea.,negative
4155,4156,or wo bhi bary piyar se,positive
6227,6228, haseena wajid ke iqdamaat ke baiys gher jamhori quwwaton ko siyasat mien madakhlat ka mauqa mil sakta hai,negative
134,135,in belts ki quality behtar thi mjhe inki quality se koi shikayat nahi hai.. achi munasib quality hain in belts ki aur size b sahi aya hai.. main is se tw mutmaeen hoon aur koi complain nahi mjhe is se. roz use b kar rha hoon,positive
2973,2974,"thoora period reh gaya hay pakistan ka, jahil qoom ko kuch period k baad andaza ho jaay ga. ",negative
4939,4940,jigar ma badi aag hai,negative
